"","Channel 2 - Jetson Area Aluminum Panel Last (C)","Channel 3 - Jetson Area Display Panel Last (C)","Channel 4 - Jetson Area Touchscreen Last (C)","Channel 5 - Center Top Aluminum Panel Last (C)","Channel 6 - Center Top Display Panel Last (C)","Channel 7 - Center Top Touchscreen Last (C)","Channel 8 - Ambient Between Display and Aluminum Last (C)","Channel 1 - External Ambient Last (C)"
"00:00:00","26.231","26.467","25.450","25.875","26.640","26.438","26.634","24.953"
"00:00:01","26.208","26.458","25.446","25.865","26.642","26.436","26.638","24.960"
"00:00:02","26.226","26.458","25.446","25.858","26.627","26.443","26.631","24.964"
"00:00:03","26.233","26.462","25.457","25.858","26.642","26.443","26.634","24.971"
"00:00:04","26.230","26.458","25.450","25.854","26.631","26.439","26.627","24.971"
"00:00:05","26.233","26.465","25.453","25.854","26.634","26.447","26.616","24.975"
"00:00:06","26.222","26.476","25.457","25.847","26.631","26.443","26.620","24.964"
"00:00:07","26.222","26.483","25.461","25.847","26.638","26.447","26.627","24.971"
"00:00:08","26.222","26.502","25.468","25.843","26.653","26.454","26.634","24.982"
"00:00:09","26.213","26.520","25.466","25.838","26.673","26.447","26.638","24.975"
"00:00:10","26.207","26.539","25.475","25.847","26.686","26.443","26.645","24.982"
"00:00:11","26.204","26.550","25.472","25.840","26.697","26.450","26.642","24.975"
"00:00:12","26.211","26.576","25.472","25.840","26.701","26.450","26.638","24.979"
"00:00:13","26.204","26.586","25.468","25.840","26.715","26.454","26.642","24.982"
"00:00:14","26.189","26.609","25.475","25.847","26.734","26.454","26.642","24.971"
"00:00:15","26.174","26.623","25.472","25.832","26.748","26.443","26.638","24.968"
"00:00:16","26.178","26.645","25.479","25.829","26.759","26.450","26.645","24.968"
"00:00:17","26.182","26.664","25.468","25.829","26.781","26.458","26.656","24.953"
"00:00:18","26.189","26.697","25.479","25.819","26.807","26.461","26.656","24.940"
"00:00:19","26.182","26.726","25.490","25.829","26.833","26.465","26.664","24.942"
"00:00:20","26.185","26.756","25.512","25.832","26.859","26.483","26.675","24.945"
"00:00:21","26.178","26.778","25.512","25.843","26.881","26.498","26.689","24.923"
"00:00:22","26.185","26.807","25.534","25.843","26.903","26.498","26.693","24.912"
"00:00:23","26.178","26.818","25.519","25.832","26.914","26.502","26.697","24.912"
"00:00:24","26.160","26.840","25.519","25.836","26.936","26.517","26.689","24.909"
"00:00:25","26.174","26.859","25.538","25.836","26.954","26.520","26.693","24.898"
"00:00:26","26.171","26.884","25.538","25.825","26.969","26.528","26.689","24.890"
"00:00:27","26.150","26.901","25.545","25.817","26.989","26.539","26.695","24.879"
"00:00:28","26.145","26.932","25.545","25.803","27.021","26.535","26.693","24.857"
"00:00:29","26.145","26.951","25.549","25.799","27.032","26.550","26.697","24.831"
"00:00:30","26.156","26.976","25.560","25.803","27.057","26.564","26.715","24.835"
"00:00:31","26.156","27.002","25.575","25.814","27.083","26.579","26.723","24.839"
"00:00:32","26.163","27.028","25.593","25.828","27.109","26.594","26.733","24.846"
"00:00:33","26.163","27.054","25.604","25.821","27.127","26.605","26.737","24.861"
"00:00:34","26.145","27.068","25.608","25.817","27.146","26.608","26.748","24.842"
"00:00:35","26.141","27.094","25.608","25.810","27.164","26.605","26.748","24.842"
"00:00:36","26.130","27.120","25.606","25.808","27.188","26.623","26.754","24.844"
"00:00:37","26.145","27.157","25.630","25.814","27.219","26.631","26.763","24.835"
"00:00:38","26.145","27.175","25.637","25.806","27.234","26.653","26.767","24.842"
"00:00:39","26.152","27.197","25.641","25.799","27.249","26.649","26.759","24.835"
"00:00:40","26.145","27.215","25.655","25.810","27.267","26.656","26.778","24.817"
"00:00:41","26.134","27.234","25.652","25.806","27.285","26.667","26.781","24.783"
"00:00:42","26.145","27.256","25.663","25.806","27.308","26.664","26.778","24.728"
"00:00:43","26.156","27.271","25.663","25.803","27.315","26.667","26.774","24.691"
"00:00:44","26.145","27.285","25.685","25.806","27.344","26.682","26.792","24.695"
"00:00:45","26.158","27.333","25.703","25.814","27.374","26.678","26.809","24.719"
"00:00:46","26.156","27.366","25.711","25.814","27.400","26.693","26.815","24.728"
"00:00:47","26.152","27.370","25.725","25.817","27.422","26.704","26.818","24.725"
"00:00:48","26.141","27.388","25.718","25.806","27.440","26.704","26.811","24.732"
"00:00:49","26.141","27.407","25.740","25.814","27.455","26.711","26.829","24.736"
"00:00:50","26.152","27.436","25.744","25.803","27.466","26.719","26.822","24.739"
"00:00:51","26.148","27.455","25.758","25.803","27.495","26.737","26.837","24.743"
"00:00:52","26.141","27.481","25.770","25.795","27.510","26.759","26.840","24.743"
"00:00:53","26.145","27.491","25.770","25.803","27.525","26.759","26.840","24.747"
"00:00:54","26.141","27.525","25.773","25.803","27.554","26.774","26.848","24.749"
"00:00:55","26.145","27.550","25.770","25.795","27.576","26.781","26.859","24.739"
"00:00:56","26.141","27.558","25.781","25.799","27.602","26.800","26.859","24.714"
"00:00:57","26.145","27.587","25.784","25.799","27.605","26.807","26.859","24.721"
"00:00:58","26.138","27.598","25.788","25.799","27.631","26.822","26.873","24.717"
