"","Channel 2 - Jetson Area Aluminum Panel Last (C)","Channel 3 - Jetson Area Display Panel Last (C)","Channel 4 - Jetson Area Touchscreen Last (C)","Channel 5 - Center Top Aluminum Panel Last (C)","Channel 6 - Center Top Display Panel Last (C)","Channel 7 - Center Top Touchscreen Last (C)","Channel 8 - Ambient Between Display and Aluminum Last (C)","Channel 1 - External Ambient Last (C)"
"00:00:00","24.319","24.322","24.186","23.921","24.333","24.617","24.481","24.687"
"00:00:01","24.330","24.326","24.190","23.925","24.341","24.617","24.484","24.705"
"00:00:02","24.319","24.348","24.186","23.929","24.344","24.620","24.488","24.705"
"00:00:03","24.337","24.344","24.183","23.921","24.337","24.613","24.477","24.720"
"00:00:04","24.322","24.356","24.186","23.925","24.344","24.613","24.484","24.716"
"00:00:05","24.326","24.363","24.194","23.929","24.352","24.613","24.473","24.724"
"00:00:06","24.323","24.363","24.183","23.925","24.352","24.610","24.473","24.709"
"00:00:07","24.319","24.374","24.179","23.914","24.356","24.606","24.473","24.705"
"00:00:08","24.323","24.393","24.183","23.925","24.370","24.613","24.481","24.709"
"00:00:09","24.330","24.396","24.172","23.914","24.374","24.613","24.485","24.716"
"00:00:10","24.319","24.418","24.175","23.914","24.389","24.613","24.485","24.705"
"00:00:11","24.319","24.437","24.183","23.918","24.407","24.617","24.488","24.713"
"00:00:12","24.323","24.452","24.179","23.925","24.422","24.628","24.499","24.709"
"00:00:13","24.315","24.466","24.190","23.914","24.429","24.628","24.492","24.705"
"00:00:14","24.326","24.477","24.194","23.922","24.433","24.636","24.492","24.716"
"00:00:15","24.319","24.496","24.198","23.914","24.452","24.636","24.499","24.720"
"00:00:16","24.323","24.511","24.205","23.918","24.466","24.654","24.507","24.709"
"00:00:17","24.327","24.525","24.216","23.922","24.485","24.669","24.514","24.702"
"00:00:18","24.327","24.540","24.220","23.915","24.492","24.658","24.507","24.698"
"00:00:19","24.330","24.570","24.231","23.926","24.522","24.676","24.529","24.702"
"00:00:20","24.334","24.580","24.235","23.926","24.540","24.687","24.518","24.709"
"00:00:21","24.327","24.595","24.238","23.915","24.544","24.684","24.522","24.702"
"00:00:22","24.327","24.617","24.242","23.918","24.555","24.698","24.529","24.709"
"00:00:23","24.319","24.625","24.253","23.915","24.566","24.698","24.536","24.709"
"00:00:24","24.319","24.639","24.253","23.918","24.577","24.713","24.540","24.713"
"00:00:25","24.327","24.658","24.268","23.922","24.599","24.717","24.544","24.728"
"00:00:26","24.323","24.676","24.275","23.919","24.614","24.732","24.548","24.713"
"00:00:27","24.338","24.691","24.279","23.922","24.629","24.739","24.555","24.735"
"00:00:28","24.327","24.717","24.297","23.922","24.665","24.757","24.566","24.717"
"00:00:29","24.323","24.739","24.298","23.915","24.673","24.765","24.563","24.721"
"00:00:30","24.323","24.750","24.301","23.919","24.677","24.769","24.570","24.721"
"00:00:31","24.327","24.761","24.309","23.915","24.684","24.769","24.559","24.717"
"00:00:32","24.312","24.765","24.309","23.911","24.702","24.772","24.559","24.710"
"00:00:33","24.312","24.791","24.312","23.911","24.713","24.776","24.577","24.710"
"00:00:34","24.324","24.798","24.331","23.911","24.736","24.798","24.574","24.717"
"00:00:35","24.316","24.820","24.327","23.915","24.747","24.802","24.592","24.721"
"00:00:36","24.324","24.831","24.335","23.919","24.765","24.813","24.585","24.714"
"00:00:37","24.324","24.872","24.338","23.915","24.784","24.813","24.589","24.695"
"00:00:38","24.324","24.879","24.346","23.912","24.798","24.809","24.592","24.695"
"00:00:39","24.324","24.887","24.353","23.912","24.798","24.817","24.596","24.670"
"00:00:40","24.320","24.898","24.353","23.904","24.806","24.817","24.600","24.662"
"00:00:41","24.313","24.912","24.360","23.908","24.828","24.831","24.611","24.662"
"00:00:42","24.328","24.938","24.372","23.919","24.846","24.850","24.618","24.662"
"00:00:43","24.328","24.953","24.379","23.919","24.865","24.857","24.626","24.673"
"00:00:44","24.335","24.960","24.386","23.919","24.872","24.861","24.629","24.662"
"00:00:45","24.339","24.986","24.394","23.930","24.887","24.865","24.626","24.674"
"00:00:46","24.335","24.997","24.387","23.916","24.905","24.865","24.637","24.674"
"00:00:47","24.328","25.038","24.409","23.927","24.950","24.880","24.644","24.670"
"00:00:48","24.343","25.042","24.409","23.927","24.950","24.883","24.644","24.677"
"00:00:49","24.332","25.045","24.409","23.927","24.950","24.887","24.644","24.681"
"00:00:50","24.332","25.060","24.409","23.927","24.968","24.891","24.648","24.678"
"00:00:51","24.335","25.079","24.416","23.931","24.976","24.891","24.659","24.681"
"00:00:52","24.328","25.086","24.405","23.923","24.987","24.887","24.648","24.685"
"00:00:53","24.328","25.097","24.416","23.920","24.990","24.891","24.648","24.674"
"00:00:54","24.328","25.112","24.428","23.934","25.020","24.909","24.670","24.678"
"00:00:55","24.336","25.156","24.442","23.934","25.046","24.932","24.674","24.692"
"00:00:56","24.336","25.160","24.453","23.946","25.053","24.939","24.682","24.700"
"00:00:57","24.336","25.175","24.457","23.949","25.072","24.946","24.689","24.700"
"00:00:58","24.343","25.193","24.464","23.946","25.075","24.950","24.693","24.696"
"00:00:59","24.343","25.204","24.472","23.949","25.097","24.961","24.704","24.700"
"00:01:00","24.343","25.219","24.483","23.949","25.108","24.965","24.696","24.700"
"00:01:01","24.339","25.230","24.487","23.935","25.119","24.972","24.707","24.700"
"00:01:02","24.339","25.230","24.494","23.935","25.119","24.969","24.700","24.693"
"00:01:03","24.351","25.252","24.505","23.931","25.131","24.972","24.700","24.685"
"00:01:04","24.332","25.278","24.527","23.931","25.156","24.991","24.719","24.682"
"00:01:05","24.340","25.285","24.539","23.939","25.179","25.002","24.730","24.678"
"00:01:06","24.344","25.315","24.542","23.950","25.193","25.021","24.737","24.660"
"00:01:07","24.336","25.333","24.550","23.939","25.201","25.024","24.730","24.656"
"00:01:08","24.336","25.333","24.546","23.932","25.201","25.024","24.730","24.631"
"00:01:09","24.333","25.348","24.553","23.939","25.216","25.046","24.748","24.623"
"00:01:10","24.340","25.367","24.557","23.943","25.238","25.046","24.748","24.627"
"00:01:11","24.336","25.385","24.579","23.946","25.249","25.061","24.752","24.612"
"00:01:12","24.344","25.403","24.583","23.950","25.267","25.076","24.767","24.616"
"00:01:13","24.340","25.418","24.598","23.943","25.286","25.083","24.778","24.616"
"00:01:14","24.340","25.437","24.587","23.950","25.304","25.080","24.767","24.612"
"00:01:15","24.344","25.444","24.594","23.947","25.312","25.084","24.782","24.605"
"00:01:16","24.359","25.466","24.613","23.950","25.330","25.095","24.793","24.616"
"00:01:17","24.373","25.481","24.624","23.954","25.337","25.091","24.782","24.613"
"00:01:18","24.359","25.474","24.609","23.950","25.349","25.109","24.793","24.605"
"00:01:19","24.359","25.489","24.613","23.947","25.360","25.106","24.793","24.609"
"00:01:20","24.351","25.499","24.613","23.943","25.367","25.102","24.800","24.594"
"00:01:21","24.355","25.507","24.620","23.943","25.374","25.099","24.797","24.587"
"00:01:22","24.352","25.540","24.631","23.943","25.386","25.106","24.804","24.583"
"00:01:23","24.355","25.544","24.657","23.947","25.408","25.117","24.812","24.587"
"00:01:24","24.359","25.566","24.665","23.951","25.430","25.128","24.819","24.587"
"00:01:25","24.355","25.570","24.676","23.947","25.434","25.132","24.823","24.584"
"00:01:26","24.356","25.588","24.683","23.944","25.441","25.128","24.827","24.584"
"00:01:27","24.356","25.603","24.705","23.958","25.456","25.136","24.827","24.584"
"00:01:28","24.367","25.618","24.716","23.962","25.482","25.154","24.838","24.595"
"00:01:29","24.367","25.636","24.724","23.969","25.482","25.169","24.838","24.580"
"00:01:30","24.363","25.640","24.724","23.962","25.489","25.176","24.841","24.569"
"00:01:31","24.360","25.655","24.731","23.966","25.511","25.202","24.849","24.569"
"00:01:32","24.374","25.680","24.750","23.977","25.530","25.224","24.860","24.547"
"00:01:33","24.378","25.692","24.761","23.984","25.548","25.239","24.867","24.518"
"00:01:34","24.375","25.703","24.768","23.977","25.548","25.243","24.871","24.496"
"00:01:35","24.374","25.710","24.772","23.966","25.555","25.246","24.867","24.481"
"00:01:36","24.375","25.725","24.779","23.977","25.574","25.269","24.882","24.459"
"00:01:37","24.375","25.740","24.798","23.977","25.581","25.280","24.882","24.452"
"00:01:38","24.375","25.758","24.801","23.981","25.596","25.294","24.882","24.441"
"00:01:39","24.375","25.769","24.820","23.977","25.604","25.302","24.893","24.426"
"00:01:40","24.378","25.795","24.849","23.985","25.626","25.328","24.901","24.434"
"00:01:41","24.375","25.817","24.864","23.985","25.648","25.350","24.916","24.434"
"00:01:42","24.379","25.826","24.875","23.989","25.655","25.350","24.918","24.423"
"00:01:43","24.386","25.836","24.886","23.992","25.663","25.350","24.919","24.445"
"00:01:44","24.386","25.843","24.897","24.000","25.677","25.372","24.923","24.430"
"00:01:45","24.386","25.851","24.909","24.000","25.678","25.369","24.923","24.427"
"00:01:46","24.383","25.873","24.927","24.004","25.696","25.380","24.927","24.427"
"00:01:47","24.390","25.884","24.931","24.000","25.700","25.391","24.935","24.430"
"00:01:48","24.383","25.876","24.938","23.993","25.700","25.402","24.927","24.408"
"00:01:49","24.386","25.910","24.953","24.000","25.733","25.435","24.942","24.423"
"00:01:50","24.383","25.921","24.957","23.996","25.737","25.439","24.949","24.420"
"00:01:51","24.383","25.932","24.957","24.000","25.748","25.446","24.946","24.427"
"00:01:52","24.398","25.947","24.971","24.004","25.759","25.442","24.949","24.423"
