"","Channel 2 - Jetson Area Aluminum Panel Last (C)","Channel 3 - Jetson Area Display Panel Last (C)","Channel 4 - Jetson Area Touchscreen Last (C)","Channel 5 - Center Top Aluminum Panel Last (C)","Channel 6 - Center Top Display Panel Last (C)","Channel 7 - Center Top Touchscreen Last (C)","Channel 8 - Ambient Between Display and Aluminum Last (C)","Channel 1 - External Ambient Last (C)"
"00:01:44","25.621","25.698","25.820","25.352","25.934","26.184","25.996","24.944"
"00:01:45","25.628","25.695","25.790","25.356","25.941","26.191","25.993","24.948"
"00:01:46","25.632","25.702","25.772","25.367","25.945","26.195","25.996","24.962"
"00:01:47","25.625","25.695","25.735","25.360","25.949","26.180","25.993","24.952"
"00:01:48","25.621","25.691","25.721","25.356","25.945","26.173","25.993","24.941"
"00:01:49","25.621","25.688","25.691","25.360","25.938","26.170","25.989","24.948"
"00:01:50","25.621","25.695","25.677","25.360","25.941","26.173","25.986","24.930"
"00:01:51","25.621","25.691","25.662","25.360","25.934","26.173","25.986","24.919"
"00:01:52","25.614","25.688","25.644","25.346","25.931","26.155","25.986","24.919"
"00:01:53","25.607","25.677","25.618","25.349","25.916","26.144","25.986","24.923"
"00:01:54","25.607","25.684","25.603","25.353","25.931","26.140","25.982","24.930"
"00:01:55","25.596","25.684","25.589","25.353","25.931","26.137","25.986","24.930"
"00:01:56","25.600","25.692","25.585","25.357","25.927","26.133","25.993","24.923"
"00:01:57","25.596","25.688","25.567","25.357","25.938","26.122","25.990","24.930"
"00:01:58","25.600","25.692","25.548","25.361","25.935","26.108","25.994","24.938"
"00:01:59","25.604","25.699","25.537","25.361","25.927","26.086","25.990","24.938"
"00:02:00","25.593","25.688","25.527","25.350","25.935","26.086","25.983","24.938"
"00:02:01","25.615","25.699","25.527","25.357","25.924","26.082","25.990","24.942"
"00:02:02","25.615","25.689","25.505","25.346","25.924","26.060","25.979","24.938"
"00:02:03","25.604","25.681","25.494","25.336","25.913","26.049","25.965","24.938"
"00:02:04","25.611","25.685","25.490","25.332","25.924","26.053","25.983","24.938"
"00:02:05","25.608","25.692","25.479","25.343","25.921","26.046","25.976","24.953"
"00:02:06","25.619","25.689","25.468","25.343","25.928","26.038","25.979","24.957"
"00:02:07","25.612","25.693","25.457","25.343","25.917","26.027","25.969","24.957"
"00:02:08","25.612","25.682","25.435","25.340","25.910","26.020","25.965","24.950"
"00:02:09","25.604","25.682","25.439","25.343","25.917","26.024","25.969","24.957"
"00:02:10","25.612","25.689","25.435","25.347","25.921","26.028","25.972","24.968"
"00:02:11","25.594","25.689","25.417","25.343","25.917","26.020","25.973","24.964"
"00:02:12","25.601","25.693","25.424","25.355","25.925","26.021","25.976","24.968"
"00:02:13","25.605","25.700","25.424","25.355","25.921","26.017","25.973","24.983"
"00:02:14","25.609","25.697","25.425","25.355","25.910","26.010","25.966","24.983"
"00:02:15","25.597","25.686","25.413","25.351","25.918","26.010","25.976","24.987"
"00:02:16","25.601","25.693","25.414","25.355","25.918","26.002","25.966","24.979"
"00:02:17","25.601","25.682","25.414","25.344","25.918","25.991","25.955","24.983"
"00:02:18","25.594","25.682","25.414","25.351","25.914","25.991","25.966","24.972"
"00:02:19","25.594","25.683","25.396","25.337","25.900","25.984","25.955","24.972"
"00:02:20","25.602","25.683","25.373","25.337","25.903","25.966","25.951","24.976"
"00:02:21","25.598","25.675","25.359","25.337","25.892","25.958","25.951","24.976"
"00:02:22","25.598","25.672","25.352","25.337","25.900","25.962","25.955","24.980"
"00:02:23","25.598","25.675","25.352","25.340","25.900","25.955","25.951","24.980"
"00:02:24","25.594","25.686","25.352","25.337","25.896","25.962","25.951","24.987"
"00:02:25","25.591","25.686","25.348","25.340","25.900","25.970","25.944","24.980"
