"","Channel 1 - Internal Ambient Last (C)","Channel 2 - External Ambient Last (C)","Channel 3 - Jetson Processor Last (C)","Channel 4 - Jetson Heatsink Last (C)","Channel 5 - Display Cable Last (C)","Channel 6 - Touch Panel Board Last (C)","Channel 7 - Aluminum Panel - Upper Right Side Last (C)","Channel 8 - Display Panel - Upper Right Side Last (C)","Channel 9 - Coverglass - Upper Right Side Last (C)","Channel 10 - Aluminum Panel - Lower Left Side Last (C)","Channel 11 - Display Panel - Lower Left Side Last (C)","Channel 12 - Coverglass - Lower Left Side Last (C)","Channel 13 - Ambient Between Aluminum and Display Last (C)"
"00:00:00","30.197","22.520","36.394","36.915","28.966","30.281","31.100","28.076","26.364","30.864","27.922","26.461","30.006"
"00:00:01","30.190","22.344","36.376","36.901","28.955","30.266","31.097","28.072","26.369","30.860","27.922","26.450","30.001"
"00:00:02","30.197","22.700","36.358","36.879","28.952","30.266","31.090","28.072","26.364","30.855","27.911","26.452","30.001"
"00:00:03","30.186","22.524","36.350","36.857","28.948","30.255","31.090","28.080","26.378","30.860","27.916","26.456","29.999"
"00:00:04","30.179","22.737","36.321","36.842","28.933","30.244","31.075","28.061","26.377","30.850","27.903","26.454","29.993"
"00:00:05","30.172","22.340","36.303","36.821","28.937","30.241","31.086","28.080","26.367","30.844","27.905","26.445","29.986"
"00:00:06","30.175","23.194","36.303","36.806","28.926","30.233","31.075","28.069","26.366","30.841","27.898","26.436","29.984"
"00:00:07","30.164","23.105","36.271","36.788","28.915","30.226","31.075","28.061","26.366","30.828","27.904","26.443","29.986"
"00:00:08","30.161","22.539","36.231","36.752","28.915","30.219","31.064","28.073","26.373","30.830","27.896","26.434","29.975"
"00:00:09","30.165","25.074","36.234","36.730","28.908","30.212","31.064","28.076","26.380","30.821","27.894","26.439","29.971"
"00:00:10","30.157","19.881","36.220","36.712","28.904","30.227","31.068","28.065","26.369","30.821","27.878","26.436","29.968"
"00:00:11","30.154","21.891","36.271","36.697","28.886","30.398","31.057","28.062","26.353","30.817","27.885","26.434","29.968"
"00:00:12","30.154","22.984","36.307","36.686","28.879","30.751","31.050","28.058","26.329","30.811","27.874","26.408","29.957"
"00:00:13","30.143","21.583","36.420","36.686","28.879","31.203","31.054","28.054","26.311","30.817","27.878","26.410","29.968"
"00:00:14","30.128","22.293","36.475","36.690","28.864","31.688","31.039","28.051","26.320","30.812","27.878","26.412","29.960"
"00:00:15","30.128","22.396","36.493","36.701","28.868","32.194","31.039","28.066","26.323","30.810","27.874","26.404","29.951"
"00:00:16","30.136","23.176","36.475","36.716","28.864","32.679","31.039","28.055","26.333","30.806","27.878","26.403","29.949"
"00:00:17","30.121","22.484","36.424","36.738","28.849","33.586","31.032","28.047","26.338","30.802","27.871","26.399","29.946"
"00:00:18","30.111","22.838","36.388","36.752","28.846","34.023","31.025","28.048","26.327","30.795","27.865","26.388","29.938"
"00:00:19","30.114","22.326","36.373","36.760","28.842","34.428","31.025","28.036","26.333","30.802","27.867","26.384","29.946"
"00:00:20","30.103","22.867","36.370","36.767","28.839","34.803","31.014","28.033","26.338","30.795","27.861","26.386","29.935"
"00:00:21","30.096","22.499","36.366","36.789","28.839","35.167","31.018","28.044","26.336","30.782","27.850","26.384","29.926"
"00:00:22","30.100","22.724","36.403","36.800","28.839","35.514","31.014","28.040","26.340","30.784","27.863","26.388","29.927"
"00:00:23","30.096","22.334","36.447","36.829","28.839","35.849","31.025","28.033","26.342","30.782","27.854","26.386","29.920"
"00:00:24","30.100","22.437","36.512","36.844","28.835","36.159","31.003","28.037","26.340","30.773","27.845","26.373","29.907"
"00:00:25","30.085","22.514","36.556","36.891","28.832","36.457","31.003","28.022","26.329","30.762","27.845","26.366","29.905"
"00:00:26","30.089","22.636","36.622","36.971","28.828","37.019","31.004","28.033","26.327","30.762","27.841","26.368","29.902"
"00:00:27","30.082","22.776","36.738","37.019","28.824","37.274","30.989","28.022","26.335","30.764","27.832","26.368","29.898"
"00:00:28","30.082","22.632","36.866","37.077","28.821","37.514","30.993","28.030","26.325","30.752","27.830","26.366","29.894"
"00:00:29","30.075","22.603","37.099","37.146","28.821","37.755","30.993","28.026","26.316","30.750","27.830","26.368","29.893"
"00:00:30","30.078","22.732","37.303","37.223","28.817","37.984","30.986","28.026","26.314","30.746","27.830","26.366","29.885"
"00:00:31","30.067","22.702","37.401","37.299","28.821","38.207","30.986","28.026","26.296","30.748","27.819","26.359","29.880"
"00:00:32","30.079","22.717","37.522","37.343","28.825","38.411","30.986","28.026","26.289","30.744","27.827","26.362","29.878"
"00:00:33","30.075","22.732","37.544","37.380","28.821","38.611","30.967","28.023","26.291","30.739","27.821","26.364","29.874"
"00:00:34","30.068","22.666","37.529","37.405","28.810","38.801","30.975","28.026","26.285","30.730","27.819","26.359","29.872"
"00:00:35","30.064","22.283","37.664","37.504","28.803","39.169","30.960","28.004","26.294","30.739","27.816","26.355","29.863"
"00:00:36","30.053","22.445","37.748","37.562","28.807","39.344","30.968","28.012","26.302","30.726","27.810","26.342","29.860"
"00:00:37","30.057","22.636","37.810","37.624","28.807","39.519","30.971","28.027","26.311","30.726","27.805","26.340","29.865"
"00:00:38","30.064","22.199","37.908","37.682","28.803","39.683","30.957","28.027","26.304","30.710","27.799","26.329","29.850"
"00:00:39","30.057","22.519","37.992","37.737","28.803","39.843","30.960","28.008","26.309","30.704","27.797","26.322","29.847"
"00:00:40","30.053","22.832","38.083","37.785","28.803","39.996","30.953","28.008","26.315","30.712","27.801","26.322","29.851"
"00:00:41","30.053","22.302","38.204","37.846","28.796","40.130","30.942","28.012","26.313","30.704","27.788","26.317","29.836"
"00:00:42","30.050","22.832","38.313","37.919","28.796","40.286","30.950","28.016","26.300","30.686","27.775","26.309","29.825"
"00:00:43","30.050","23.200","38.404","37.985","28.796","40.420","30.943","28.008","26.300","30.679","27.772","26.307","29.817"
"00:00:44","30.046","22.386","38.441","38.109","28.803","40.685","30.935","28.023","26.302","30.674","27.772","26.309","29.819"
"00:00:45","30.046","22.710","38.382","38.153","28.811","40.939","30.932","28.045","26.311","30.683","27.785","26.306","29.821"
"00:00:46","30.046","22.670","38.346","38.193","28.822","41.004","30.935","28.058","26.315","30.679","27.801","26.308","29.843"
"00:00:47","30.050","22.548","38.357","38.262","28.833","41.070","30.939","28.071","26.317","30.677","27.803","26.306","29.849"
"00:00:48","30.043","23.005","38.313","38.328","28.840","41.175","30.917","28.079","26.313","30.674","27.818","26.298","29.854"
"00:00:49","30.050","22.677","38.255","38.383","28.848","41.294","30.925","28.097","26.315","30.672","27.834","26.311","29.869"
